"Timestamp","1. What field are you in?","2. Which sector are you working in","3. What is Your Sex ","4.    What is your level of experience?","5. Are you a Paid Up Member of The Economics Association of Zambia (EAZ)?","6. Have you applied for EAZ membership?","7. You have registered as a user on the EAZ website, what was the reason for your registration?","8. Are you willing to apply and pay for membership?","9. If you answered “No” to the question above, explain the reason why","10. What assistance would you require to complete the registration process.","11. What has prevented you from applying for EAZ membership?","12. Are you aware of the benefits and opportunities that EAZ membership offers? ","13. What is your interest on the website?","14. On a scale of 1 to 5, how would you rate your willingness to pay for EAZ membership, with 1 being ""Not willing at All"" and 5 being ""Very Willing""? (1-5)","15. What factors have prevented you from activating your EAZ membership?","16. What specific incentives or changes could encourage you to activate your membership?","17. Please select your membership category from the following options","18. Which of these methods of sponsorship apply to you","19. On a Scale of 1 to 5  with 1 being not willing at all and 5 very willing, Are you willing to continue paying for the membership fees required for your specific EAZ category?  ","20. Based on your Answer to Question 19 above, give a reason for your answer.","21. On a Scale of 1 to 5 with 1 being not willing at all and 5 very willing, Are you willing to pay the membership fees for yourself? ","22. Based on your Answer to the Question above, Give a reason for your answer","23. On a scale of 1 to 5, with 1 being ""Not involved at All"" and 5 being ""Highly Involved,"" how involved are you in EAZ activities within your category?","24. What benefits would you like to receive from EAZ that you are not getting?","25. How can EAZ improve communication and engagement with members in your specific category? ","26. What recommendations would you make regarding the improvement of EAZ’s membership structure and activities within the category? "
"2023/12/22 2:37:16 pm EET","Economics","Public Sector","Male","0-4 Years","No","No","I want to become a member","Yes","","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information related to papers and research work by EAZ","","","","","","","","","","","","",""
"2023/12/22 2:40:58 pm EET","Economics","Public Sector","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","Membership shouldn't be that expensive ","1","There are no reciprocal benefits in being a paid up member, mostly we expected institutions to respond favourably when one is a paid up member ","4","Economy research seminars and consultancies;Conferences and workshops;Industrial tours;Employment opportunities","Improved website and member portal","I think we need to strengthen coordination "
"2023/12/22 3:16:13 pm EET","Economics","Public Sector","Male","5-10 Years","Yes","","","","","","","","","","","","Associate","Paid for (Proceed to Q21)","","","1","Not very beneficial ","1","Board placements for senior membership;Mentorship programs;Skills training and graduate trainee programs;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests",""
"2023/12/22 3:28:20 pm EET","Economics related field","Public Sector","Male","Above 10 Years","No","No","I want to become a member","No","Too costly","Reduce the price","Too costly","No","Information on training and employment","","","","","","","","","","","","",""
"2023/12/22 3:48:09 pm EET","Economics","Student","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/22 4:23:33 pm EET","Economics","Public Sector","Male","5-10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","4","I am willing to pay because of perceived benefits of being a member. I would be very willing if the benefits are more apparent and made mandatory if one is to practice as an economist.","1","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","The membership structure does not show the differences in the various categories"
"2023/12/22 4:54:40 pm EET","Economics related field","Student","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/22 5:44:35 pm EET","Economics","Private Sector","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","1","No benefits ","5","I can afford ","1","Economy research seminars and consultancies;Conferences and workshops;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Employment opportunities","Improved website and member portal","Improve on developing it members "
"2023/12/22 5:47:45 pm EET","Economics","Private Sector","Female","0-4 Years","No","No","I want to become a member","No","Too costly","Reduced membership fees","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","","Information on training and employment","","","","","","","","","","","","",""
"2023/12/22 5:52:26 pm EET","Economics","Student ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/22 6:00:45 pm EET","Economics","Public Sector","Male","5-10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","5","","3","","4","Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates",""
"2023/12/22 7:21:41 pm EET","Economics","Public Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/22 7:31:15 pm EET","Economics related field","Public Sector","Male","5-10 Years","Yes","","","","","","","","","","","","Associate","Self- sponsored (Proceed to Q19)","2","I see no value in having EAZ membership right now ","","","1","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Employment opportunities","Regular newsletters with updates",""
"2023/12/22 7:33:27 pm EET","Economics","Public Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2023/12/22 8:04:05 pm EET","Mathematics & Finance","Finance","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Technical issues or difficulties during the registration process.","Create a flexible payment plan","","","","","","","","","",""
"2023/12/22 8:11:57 pm EET","Economics","Private Sector","Male","Above 10 Years","No","No","I want to become a member","No","Fees are ridiculous high","Reduce fees to something reasonable.","High subscription fees","Yes","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2023/12/22 8:42:49 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits","Create a flexible payment plan","","","","","","","","","",""
"2023/12/22 8:44:00 pm EET","Economics","Student","Male","0-4 Years","No","No","I want to become a member","Yes","","Online application process","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2023/12/22 9:02:32 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/22 9:09:59 pm EET","Economics","Private Sector","Female","0-4 Years","Yes","","","","","","","","","","","","Junior","Self- sponsored (Proceed to Q19)","4","Certain jobs require that you belong to an association, I also want to learn more about my field and to grow as an economist","4","As long as I have the capacity I have no problems paying ","5","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests","Emol"
"2023/12/22 9:11:51 pm EET","Economics related field","Private Sector","Male","0-4 Years","No","No","I want to become a member","No","I do not see the benefits","Tangible direct benefits ","Formal member","No","Information on training and employment","","","","","","","","","","","","",""
"2023/12/22 9:32:40 pm EET","Data analytics ","Private Sector","Female","5-10 Years","No","No","I am interested in information related to economic development","","","","","","Information on training and employment","","","","","","","","","","","","",""
"2023/12/22 9:42:32 pm EET","Economics","NGO","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","5","I think the membership fee makes it possible for the association to continue its operations and thus be as proactive as it is on the economic front","5","I believe paying the membership makes it possible for the association to operate and continue providing policy advice to the government","3","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Skills training and graduate trainee programs;Industrial tours;Employment opportunities","Regular newsletters with updates","Though my suggestion is a bit far from the question, I think the economics profession needs to be regulated too. Thus introducing Licensure exams would ensure that standards are being upheld "
"2023/12/22 10:36:14 pm EET","Economics","Private Sector","Male","0-4 Years","No","No","I want to become a member","No","Too costly","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information related to papers and research work by EAZ","","","","","","","","","","","","",""
"2023/12/22 11:00:52 pm EET","Economics related field","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Membership validity period","","","","","","","","","",""
"2023/12/22 11:36:18 pm EET","Finance and business administration ","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Associate","Self- sponsored (Proceed to Q19)","5","It's a requirement of the Association ","5","I am a member in good standing. ","5","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.","Regular newsletters with updates","Clarity of members having none Economics qualification to join and take up active voting roles "
"2023/12/22 11:43:57 pm EET","Economics","Undergraduate student ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2023/12/23 1:18:45 am EET","Economics","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","3","Eaz do more of stake holder engagement ","3","","3","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Collaborative research projects;Employment opportunities","Regular newsletters with updates",""
"2023/12/23 1:43:00 am EET","Economics related field","Public Sector","Female","5-10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","3","EAZ us not as responsive Incase you call one of the staff to make inquiries. Very hectic ","2","Board placements for senior membership;Economy research seminars and consultancies;Conferences and workshops;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.","Personalized communication based on member interests","Need for annual AGM, proper economic & frequent updates on the social media platforms "
"2023/12/23 1:59:21 am EET","Economics","","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Paid for (Proceed to Q21)","","","5","Because information from the Association is important for my development as I progress to be a valuable economist to not just the association but the nation at large ","3","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","Advertising memberships more through affiliated associations such as The University Of Zambia Business and Economics Association (UNZABECA) and The University Of Zambia Actuarial Science Association (UNZA-ASA)"
"2023/12/23 5:42:18 am EET","Economics","Private Sector","Male","5-10 Years","No","No","I am interested in information related to economic development","","","","","","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2023/12/23 8:48:36 am EET","Economics related field","Private Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/23 8:56:47 am EET","Economics","NGO","Male","0-4 Years","Yes","","","","","","","","","","","","Junior","Self- sponsored (Proceed to Q19)","1","In the job market, economics membership is not recognize as compared to ZICA, ZIPS, EIZ etc. They're alot of economist operating without paying to be a member. Why should I pay? Knowing that I will be operating in any organization without them asking for a membership affiliation.","1","Let EAZ start operating like other association out there, if you are not a member of the professional body, the organization can not offer you a job.","3","Economy research seminars and consultancies;Mentorship programs;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests","Provide entry-level mentorship to fresh graduates.
Arranging activities that let fresh graduates meet senior level economist, to share some of their experience and knowledge when it comes to the economy as a whole.
EAZ should emulate Zambia Monitoring and Evaluation in advertising employment opportunities."
"2023/12/23 9:01:38 am EET","Economics","Private Sector","Male","0-4 Years","No","No","I want to become a member","Yes","","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2023/12/23 9:34:07 am EET","Full time accountant/economics partially ","Private Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","luck of incentives","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/23 9:54:25 am EET","Economics teacher","Career break","Female","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","2","Fees are too high for the perceived benefits;Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/23 10:04:04 am EET","Accountining and Finance","Private Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2023/12/23 10:32:55 am EET","Economics","Private Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/23 10:41:16 am EET","Economics","Student ","Female","0-4 Years","No","No","I want to become a member","Yes","","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on training and employment","","","","","","","","","","","","",""
"2023/12/23 10:43:21 am EET","Economics","Unemployed ","Female","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2023/12/23 11:03:38 am EET","Economics related field","Student","Male","0-4 Years","No","No","I am interested in information related to economic development","","","","","","All of the above ","","","","","","","","","","","","",""
"2023/12/23 11:07:02 am EET","Economics","Student ","Male","0-4 Years","No","No","I want to become a member","Yes","","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","All of the above ","","","","","","","","","","","","",""
"2023/12/23 11:29:35 am EET","Economics","Public Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2023/12/23 11:40:16 am EET","Economics","NGO","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Lack of adequate information on the payment system;Lack of clear instructions on the activation process.;Technical issues or difficulties during the registration process.;","Membership validity period","","","","","","","","","",""
"2023/12/23 11:43:40 am EET","Economics related field","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Lack of clear instructions on the activation process.;Technical issues or difficulties during the registration process.","I had issues with payment gateway. That's why I paid once and never paid again ","","","","","","","","","",""
"2023/12/23 11:52:19 am EET","Economics","Self Employed ","Male","0-4 Years","No","No","I want to become a member","Yes","","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","Yes","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2023/12/23 11:55:10 am EET","Economics related field","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Associate","Self- sponsored (Proceed to Q19)","5","To sustain the operation of the Association","5","My contribution in form of membership fee wil help in sustaining the operations of the Association and also show my commitment to the association","3","Board placements for senior membership;Economy research seminars and consultancies;Conferences and workshops;Collaborative research projects;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.","Improved website and member portal",""
"2023/12/23 11:58:53 am EET","Economics","Private Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","2","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/23 12:03:52 pm EET","Economics","Private Sector","Female","0-4 Years","No","No","I want to become a member","No","Too costly","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on economic trends","","","","","","","","","","","","",""
"2023/12/23 12:13:40 pm EET","Economics","Public Sector","Male","0-4 Years","Yes","","","","","","","","","","","","Student","Self- sponsored (Proceed to Q19)","3","Less engagement with the members","4","It's very important to continue being a member","1","Board placements for senior membership;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests","Enhancement of internship programs"
"2023/12/23 12:32:12 pm EET","Economics","Private Sector","Male","0-4 Years","No","No","I want to become a member","Yes","N/A","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on economic trends","","","","","","","","","","","","",""
"2023/12/23 12:38:27 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Technical issues or difficulties during the registration process.","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/23 12:44:42 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/23 1:09:22 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits;Financial constraints","Free for the new ones ( Flesh graduates ) then charge them later ","","","","","","","","","",""
"2023/12/23 1:18:21 pm EET","Economics","NGO","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2023/12/23 1:24:26 pm EET","Economics","Student ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Don't really know the benefits after paying for the membership fee as a student ","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/23 1:50:52 pm EET","Economics","NGO","Male","0-4 Years","No","No","I am interested in information related to economic development","","","","","","Information on economic trends","","","","","","","","","","","","",""
"2023/12/23 2:01:33 pm EET","Economics","Entrepreneurer ","Male","5-10 Years","No","","I want to become a member","Yes","","Online application process","I want to do so next year 2024","No","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2023/12/23 3:25:04 pm EET","Agricultural Economics ","Public Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","4","Sometime back I paid but there was no benefit I got.","Create a flexible payment plan","","","","","","","","","",""
"2023/12/23 3:38:03 pm EET","Economics","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","5","","5","Board placements for senior membership","Regular newsletters with updates",""
"2023/12/23 4:25:37 pm EET","Economics","NGO","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Lack of clear instructions on the activation process.","Create a flexible payment plan","","","","","","","","","",""
